id,location_id,terminal_id,vehicle_type_id,price
677,113,5,1,0
678,113,6,1,0
679,114,1,1,2000
680,114,2,1,1600
681,114,3,1,0
682,114,4,1,1550
683,114,5,1,0
684,114,6,1,850
685,115,1,1,0
686,115,2,1,1400
687,115,3,1,0
688,115,4,1,0
689,115,5,1,0
690,115,6,1,525
691,116,1,1,0
692,116,2,1,1350
693,116,3,1,0
694,116,4,1,0
695,116,5,1,0
696,116,6,1,650
697,117,1,1,0
698,117,2,1,0
699,117,3,1,0
700,117,4,1,1600
701,117,5,1,0
702,117,6,1,600
703,118,1,1,0
704,118,2,1,1600
705,118,3,1,0
706,118,4,1,1350
707,118,5,1,0
708,118,6,1,500
709,119,1,1,1550
710,119,2,1,1550
711,119,3,1,0
712,119,4,1,1450
713,119,5,1,0
714,119,6,1,210
715,120,1,1,1600
716,120,2,1,1650
717,120,3,1,0
718,120,4,1,1550
719,120,5,1,0
720,120,6,1,390
721,121,1,1,1550
722,121,2,1,1550
723,121,3,1,0
724,121,4,1,1500
725,121,5,1,0
726,121,6,1,245
727,122,1,1,0
728,122,2,1,0
729,122,3,1,0
730,122,4,1,1150
731,122,5,1,0
732,122,6,1,390
733,123,1,1,0
734,123,2,1,1550
735,123,3,1,0
736,123,4,1,1550
737,123,5,1,0
738,123,6,1,395
739,124,1,1,250
740,124,2,1,0
741,124,3,1,0
742,124,4,1,300
743,124,5,1,0
744,124,6,1,0
745,125,1,1,250
746,125,2,1,0
747,125,3,1,0
748,125,4,1,300
749,125,5,1,0
750,125,6,1,0
751,126,1,1,725
752,126,2,1,725
753,126,3,1,0
754,126,4,1,750
755,126,5,1,0
756,126,6,1,0
757,127,1,1,375
758,127,2,1,0
759,127,3,1,0
760,127,4,1,380
761,127,5,1,0
762,127,6,1,0
763,128,1,1,370
764,128,2,1,750
765,128,3,1,0
766,128,4,1,270
767,128,5,1,0
768,128,6,1,0
769,129,1,1,320
770,129,2,1,0
771,129,3,1,0
772,129,4,1,250
773,129,5,1,0
774,129,6,1,0
775,130,1,1,310
776,130,2,1,0
777,130,3,1,0
778,130,4,1,370
779,130,5,1,0
780,130,6,1,0
781,131,1,1,0
782,131,2,1,375
